"Job Title","Occupation","Company","City / State","Metro","Wage","Year"
"5th Grade Self-Contained Classroom Teacher","Elementary School Teachers, Except Special Education","The Society of Pella Christian Schools","Pella, IA","","$48,013","2025"
"Advanced Heart Failure Physician","Physicians, All Other","Ochsner Clinic Foundation","New Orleans, LA","New Orleans-Metairie, LA","$405,000","2025"
"Advanced Heart Failure Transplant Cardiology Fellow","Healthcare Practitioners and Technical Workers, All Other","Stanford Health Care","Stanford, CA","San Jose-Sunnyvale-Santa Clara, CA","$124,738","2025"
"Advanced Supply Chain Principal Planner (Semiconductors)","Industrial Engineers","PSEMI CORPORATION","San Diego, CA","San Diego-Carlsbad, CA","$155,000","2025"
"Advisor AIS, Vice President","Financial and Investment Analysts","Banco Santander International","Miami, FL","Miami-Fort Lauderdale-West Palm Beach, FL","$155,000","2025"
"Advisor, Partnerships & Special Initiatives, Public Affairs","Public Relations Specialists","United Nations Foundation, Inc.","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$128,716","2025"
"AI & Data Engineer","Business Intelligence Analysts","The North Highland Company","Lewisville, TX","Dallas-Fort Worth-Arlington, TX","$101,900","2025"
"AI & ML Engineer “ Level 1","Data Scientists","IHC Health Services, Inc. ","Salt Lake City, UT","Salt Lake City, UT","$85,000","2025"
"AI Algorithm Engineer","Software Developers","Lenovo (United States) Inc","Morrisville, NC","Raleigh, NC","$132,080","2025"
"AI Algorithm Engineer","Software Developers","Lenovo (United States) Inc","Morrisville, NC","Raleigh, NC","$132,080","2025"
"AI and Automation Process Consultant","Management Analysts","Cavi Consulting","Richmond, VA","Richmond, VA","$78,978","2025"
"AI and Machine Learning Engineer III","Computer Systems Engineers/Architects","Hewlett Packard Enterprise Company","Milpitas, CA","San Jose-Sunnyvale-Santa Clara, CA","$132,579","2025"
"AI and Machine Learning Engineer III","Computer Systems Engineers/Architects","Hewlett Packard Enterprise Company","Ft. Collins, CO","Fort Collins, CO","$118,435","2025"
"AI and Machine Learning Engineer III","Computer Systems Engineers/Architects","Hewlett Packard Enterprise Company","Milpitas, CA","San Jose-Sunnyvale-Santa Clara, CA","$166,962","2025"
"AI and Machine Learning Engineer III","Computer Systems Engineers/Architects","Hewlett Packard Enterprise Company","Ft. Collins, CO","Fort Collins, CO","$138,694","2025"
"AI App Developer-Machine Learning Engineer","Computer and Information Research Scientists","ElNova","Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","$125,000","2025"
"AI Application Engineer","Software Developers","DoorDash, Inc.","Sunnyvale, CA","San Jose-Sunnyvale-Santa Clara, CA","$226,158","2025"
"AI Application Engineer","Computer Programmers","UNAR Labs, LLC","South Portland, ME","Portland-South Portland, ME","$95,680","2025"
"AI Architect","Software Developers","Zuplon, LLC","Bayonne, NJ","New York-Newark-Jersey City, NY-NJ-PA","$130,000","2025"
"AI Compiler Engineer","Software Developers","EnCharge AI, Inc.","North Charleston, SC","Charleston-North Charleston, SC","$181,500","2025"
"AI Compiler Engineer","Software Developers","EnCharge AI, Inc.","North Charleston, SC","Charleston-North Charleston, SC","$203,280","2025"
"AI Developer","Software Developers","Auritas, LLC","Sanford, FL","Orlando-Kissimmee-Sanford, FL","$94,931","2025"
"AI Developer","Software Developers","Halosight Inc.","Midvale, UT","Salt Lake City, UT","$95,000","2025"
"AI Development Engineer","Software Developers","Lenovo Global Technology (United States) Inc","Morrisville, NC","Raleigh, NC","$109,262","2025"
"AI Director","Computer and Information Systems Managers","Infovision, Inc.","Basking Ridge, NJ","New York-Newark-Jersey City, NY-NJ-PA","$197,000","2025"
"AI Discovery Lead","Information Technology Project Managers","AUTOMATION ANYWHERE, INC.","San Jose, CA","San Jose-Sunnyvale-Santa Clara, CA","$201,323","2025"
"AI Engineer","Software Developers","Unisyn Data Solutions, LLC","Las Vegas, NV","Las Vegas-Henderson-Paradise, NV","$100,000","2025"
"AI Engineer","Software Developers","Word Exploration Technologies, Inc.","McLean, VA","Washington-Arlington-Alexandria, DC-VA-MD-WV","$120,000","2025"
"AI Engineer","Software Developers","Boston Consulting Group, Inc.","San Francisco, CA","San Francisco-Oakland-Hayward, CA","$130,250","2025"
"AI Engineer","Software Developers","Lithko Contracting, LLC","West Chester, OH","Cincinnati, OH-KY-IN","$96,000","2025"
"AI Engineer","Computer Programmers","Planet Equity Group","Fremont, CA","San Francisco-Oakland-Hayward, CA","$145,000","2025"
"AI Engineer","Data Scientists","Synopsys, Inc.","Sunnyvale, CA","San Jose-Sunnyvale-Santa Clara, CA","$189,746","2025"
"AI Engineer","Data Scientists","Educational Testing Service","Princeton, NJ","Trenton, NJ","$136,323","2025"
"AI Engineer","Software Developers","Grammarly, Inc.","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$223,000","2025"
"AI Engineer","Data Scientists","Educational Testing Service","Princeton, NJ","Trenton, NJ","$136,323","2025"
"AI Engineer","Software Developers","IBM Corporation","San Jose, CA","San Jose-Sunnyvale-Santa Clara, CA","$251,006","2025"
"AI Engineer","Software Developers","IBM Corporation","Cambridge, MA","Boston-Cambridge-Newton, MA-NH","$388,392","2025"
"AI Engineer","Software Developers","Boston Consulting Group, Inc.","Seattle, WA","Seattle-Tacoma-Bellevue, WA","$110,635","2025"
