"Job Title","Occupation","Company","City / State","Metro","Wage","Year"
"	 Technology Lead","Software Quality Assurance Analysts and Testers","Infogain Corporation","Fountain Valley, CA","Los Angeles-Long Beach-Anaheim, CA","$102,400","2026"
".NET ANALYST 2","Computer Systems Analysts","VIRTUSA CONSULTING SERVICES PVT., LTD","JACKSONVILLE, FL","Jacksonville, FL","$102,000","2026"
".NET DEVELOPER","Software Developers","HALLMARK GLOBAL TECHNOLOGIES INC","Woodstock, GA","Atlanta-Sandy Springs-Roswell, GA","$120,000","2026"
".NET DEVELOPER","Software Developers","KRONSYS INC","MONTGOMERY, AL","Montgomery, AL","$88,000","2026"
".NET Developer","Computer Programmers","Selsoft Inc","Woodland hills, CA","","$97,000","2026"
".NET DEVELOPER","Software Developers","COVANT SOLUTIONS, INC.","KNOXVILLE, TN","Knoxville, TN","$97,282","2026"
".NET DEVELOPER","Software Developers","SQUAD SOFTWARE, INC.","LITTLE ELM, TX","Dallas-Fort Worth-Arlington, TX","$113,000","2026"
".Net Developer","Software Developers","Delasoft, Inc.","Frankfort, KY","Frankfort, KY","$112,923","2026"
".NET DEVELOPER","Software Developers","TECHSMART GLOBAL, INC.","EAST CHICAGO, IN","Chicago-Naperville-Elgin, IL-IN-WI","$108,077","2026"
".NET ENGINEER 2","Computer Systems Engineers/Architects","VIRTUSA CORPORATION","LEWIS CENTER, OH","Columbus, OH","$100,462","2026"
".NET Senior Developer","Software Developers","Happiest Minds Technologies Ltd.","Pembroke Pines, FL","Miami-Fort Lauderdale-West Palm Beach, FL","$110,950","2026"
"=""Oracle Application EBS Developer (""EBS Developer"")""","Software Developers","Scribe Opco, LLC","Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL","$100,797","2026"
"A/B Testing and Optimization Analyst","Operations Research Analysts","Brunswick Corporation","Maricopa, AZ","Phoenix-Mesa-Scottsdale, AZ","$58,656","2026"
"Ab Initio Developer","Software Developers","IT America, Inc.","Charlotte, NC","Charlotte-Concord-Gastonia, NC-SC","$112,424","2026"
"Abdominal Core Health Surgeon","Surgeons, All Other","Mayo Clinic","Rochester, MN","Rochester, MN","$571,000","2026"
"ABINITIO PRODUCTION SUPPORT","Network and Computer Systems Administrators","KARWELL TECHNOLOGIIES, INC.","AVENEL, NJ","New York-Newark-Jersey City, NY-NJ-PA","$39","2026"
"Academic OB Laborist","Obstetricians and Gynecologists","HARVARD MEDICAL FACULTY PHYSICIANS AT BETH ISRAEL DEACONESS MEDICAL CENTER","Boston, MA","Boston-Cambridge-Newton, MA-NH","$235,000","2026"
"Access Management Database Administrator","Database Administrators","Unite Private Networks, LLC","Kansas City, MO","Kansas City, MO-KS","$65,000","2026"
"Account Executive","Customer Service Representatives","University of Notre Dame du Lac","Notre Dame, IN","South Bend-Mishawaka, IN-MI","$46,668","2026"
"Account Management Director","Financial Managers","Cummins Inc.","COLUMBUS, IN","Columbus, IN","$157,500","2026"
"Account Management Manager","Market Research Analysts and Marketing Specialists","Cummins Filtration Inc.","Nashville, TN","Nashville-Davidson--Murfreesboro--Franklin, TN","$103,200","2026"
"Account Manager","Industrial Engineers","BYD Coach and Bus LLC","Lancaster, CA","","$79,955","2026"
"Account Manager","Sales Engineers","HCL AMERICA INC","Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA","$168,958","2026"
"Account Manager II","Information Technology Project Managers","UST GLOBAL INC","Bentonville, AR","Fayetteville-Springdale-Rogers, AR-MO","$136,554","2026"
"Account Technical Executive","Sales Engineers","Cadence Design Systems, Inc.","San Jose, CA","San Jose-Sunnyvale-Santa Clara, CA","$142,405","2026"
"Accountant","Accountants and Auditors","Cloudberg Tec Limited Company","Salt Lake City, UT","Salt Lake City, UT","$68,557","2026"
"Accountant","Accountants and Auditors","RJCL Corporation","Saipan, MP","","$18","2026"
"Accountant","Accountants and Auditors","Isabel Chiu & Co., LLP","Milpitas, CA","San Jose-Sunnyvale-Santa Clara, CA","$104,832","2026"
"ACCOUNTANT","Accountants and Auditors","CALVO ENTERPRISES, INCORPORATED","ROTA, MP","","$17","2026"
"Accountant","Accountants and Auditors","MedStar Shah MSO, LLC","Hollywood, MD","","$64,715","2026"
"Accountant","Accountants and Auditors","Kiswire Pine Bluff, Inc.","Pine Bluff, AR","Pine Bluff, AR","$78,000","2026"
"Accountant","Accountants and Auditors","Magnum Producing, LP","Corpus Christi, TX","Corpus Christi, TX","$130,080","2026"
"Accountant","Accountants and Auditors","LYFT, Inc.","San Francisco, CA","San Francisco-Oakland-Hayward, CA","$88,000","2026"
